Prox,Proy,Pany,Excay,Bispy,Tripy,Paly
661.7400784,6444.099609,5610.199219,5524.300781,5115.402344,7251.500488,7389.100098
662.4648807,6432.999023,5612.199219,5570.5,5046.300781,7259.900391,7392.600098
663.1895835,6430.298828,5694.699219,5511.400391,4973.902344,7220.200195,7397.300049
663.9141869,6388.199219,5601.599609,5490.200195,5114.201172,7213.500488,7404.600098
664.6386909,6375.899414,5553,5456.800781,5091.001953,7209.200195,7395
665.3630955,6437.399414,5525.599609,5567.100586,5002.201172,7198.300293,7390.400146
666.0874007,6385.499023,5593.099609,5507.100586,5049.501953,7230.100586,7397.100098
666.8116066,6380.899414,5487.199219,5498.400391,5061.201172,7220.500488,7426.300049
667.5357132,6374.499023,5594.5,5521.400391,4957.601563,7173.100586,7398.600098
668.2597205,6441.599609,5648.399414,5534.700195,4986.501953,7250.600586,7393.600098
668.9836286,6390.298828,5632.399414,5415.5,5043.001953,7212.000488,7413.600098
669.7074374,6404.599609,5539.199219,5511.300781,4951.601563,7213.800293,7416.900146
670.4311471,6349.298828,5621.099609,5517.100586,4967.501953,7222.700195,7423
671.1547575,6334.099609,5583.599609,5522.300781,5047.201172,7179.100586,7404.400146
671.8782688,6344.399414,5504.599609,5497.900391,5018.902344,7201.200195,7405
672.601681,6439.699219,5599.799805,5537.300781,5091.902344,7259.200195,7413.900146
673.3249941,6390.599609,5617.799805,5546.200195,4989.902344,7245.400391,7400.900146
674.0482081,6432.599609,5503.699219,5534.300781,5039.201172,7228.100586,7405.100098
674.7713231,6335.199219,5487.799805,5531.700195,4916.902344,7240.500488,7414.5
675.494339,6359.899414,5439.799805,5476.200195,4877.300781,7186.000488,7395.900146
