Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A);Color
W. excavata;14.0117501;0.535431578;40;33.40745897;10.11767923;#2686a0
W. excavata;41.80581373;0.817679757;37;77.98266288;25.08485127;#2686a0
W. excavata;19.5197809;0.619771853;43;45.33933637;12.82321271;#2686a0
W. excavata;16.33191235;0.585140583;37;37.86102489;11.50956968;#2686a0
W. excavata;25.19979304;0.740227831;50;60.16932461;16.18050181;#2686a0
W. excavata;43.3844956;0.800988389;21;76.8064159;24.40852197;#2686a0
W. excavata;45.41708233;0.822131217;36;79.94229994;26.54532217;#2686a0
W. excavata;24.90672418;0.697190714;50;47.5748911;14.87361871;#2686a0
W. excavata;29.16100884;0.781156771;30;70.73468655;17.64991232;#2686a0
W. excavata;19.77093866;0.635548119;47;46.49784129;12.95817888;#2686a0
W. excavata;36.91191996;0.806573405;28;76.32248829;20.26109029;#2686a0
W. excavata;46.34738723;0.79140845;17;77.76476802;25.11195652;#2686a0
W. excavata;41.49760035;0.816323458;43;76.97793404;24.73083417;#2686a0
W. excavata;39.576752;0.792663068;37;71.53148683;24.50025456;#2686a0
W. excavata;43.50760169;0.821988557;19;80.1641171;25.74693502;#2686a0
W. excavata;8.516604296;0.347897379;48;22.29818628;7.34413248;#2686a0
W. excavata;47.58659174;0.825714345;23;81.72978541;27.1280814;#2686a0
W. excavata;43.78661621;0.816303215;16;76.49895001;25.19409866;#2686a0
W. excavata;46.24043988;0.824390981;40;81.2239161;26.71974866;#2686a0
W. excavata;30.79558584;0.721775098;26;60.74769671;19.24853775;#2686a0
W. excavata;48.64434563;0.813170938;42;78.21962781;25.52880462;#2686a0
W. excavata;19.08614589;0.719816791;16;50.3225091;12.83905465;#2686a0
W. excavata;37.10324904;0.79713321;18;73.53385533;22.61281421;#2686a0
W. excavata;18.0881134;0.644148218;36;43.53227137;12.47049493;#2686a0
W. excavata;38.35117442;0.812802588;43;78.62555239;22.39728418;#2686a0
W. excavata;25.42259049;0.802172537;45;77.06465252;15.14927818;#2686a0
W. excavata;43.61487001;0.769744133;39;77.3664281;25.88124484;#2686a0
W. excavata;44.81168484;0.8167778;34;78.01510222;25.63861063;#2686a0
W. excavata;28.20040235;0.722442048;41;61.12138628;17.03510434;#2686a0
W. excavata;40.77395098;0.81206681;39;75.69365281;23.77058369;#2686a0
W. excavata;14.0252771;0.532836517;33;33.33700941;10.06699328;#2686a0
W. excavata;38.86914784;0.814294846;31;77.82425985;23.22308158;#2686a0
W. excavata;42.3202008;0.814129363;31;76.16818635;23.78916432;#2686a0
W. excavata;31.98511255;0.782786061;39;69.04697989;19.79519863;#2686a0
W. excavata;30.66257242;0.761870565;14;67.62980079;18.21785853;#2686a0
W. excavata;29.12245435;0.791449767;25;72.33678825;16.66219092;#2686a0
W. excavata;25.51052909;0.798018362;31;74.77417905;15.13037448;#2686a0
W. excavata;26.2572095;0.72285118;12;55.94960839;17.00410682;#2686a0
W. excavata;46.0912846;0.77477972;31;73.582132;21.13863759;#2686a0
W. excavata;21.78651167;0.724816609;48;54.29312507;15.04558632;#2686a0
W. excavata;37.55795096;0.808124769;15;76.82874248;21.94510509;#2686a0
W. excavata;28.99978002;0.616712022;35;57.76227075;17.76933337;#2686a0
W. excavata;41.70126769;0.809823406;20;76.59345936;24.57987793;#2686a0
W. excavata;47.75151486;0.825857624;22;81.7831063;27.1873746;#2686a0
W. excavata;41.41406634;0.814204838;26;76.37055879;25.08384366;#2686a0
W. excavata;37.75788277;0.772351341;47;71.459334;21.71708688;#2686a0
W. excavata;25.23879518;0.738830049;23;56.96790281;15.32474996;#2686a0
W. excavata;44.2490245;0.819129083;25;79.08333077;25.41721167;#2686a0
W. excavata;16.94449562;0.646337322;49;43.2251007;11.59992144;#2686a0
W. excavata;31.08906161;0.755126926;47;66.61917521;17.90739503;#2686a0
W. excavata;51.22316334;0.821441825;21;79.27067545;26.13056142;#2686a0
B. cf. aculeatus;43.26466344;0.736408148;14;65.7735553;17.13468261;#aecec5
B. cf. aculeatus;27.78282366;0.681746985;16;45.80717018;14.93953853;#aecec5
B. cf. aculeatus;36.57330161;0.756777468;16;67.45505126;14.91565664;#aecec5
B. cf. aculeatus;25.2751802;0.641997732;15;42.1507176;13.41849699;#aecec5
