Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A)
W. excavata;40.21828345;0.811854351;31;4.61653858;2.617275835
W. excavata;28.2873794;0.727941909;42;4.023749885;2.185022645
W. excavata;33.91834267;0.802498261;42;4.563037669;2.352195589
W. excavata;41.21165004;0.812328346;47;4.596903685;2.579032824
W. excavata;21.51513057;0.620664517;46;3.638004947;1.961216918
W. excavata;51.39675912;0.824048752;48;4.784013994;2.710057195
W. excavata;12.99260148;0.499180893;29;2.958472245;1.600460054
W. excavata;28.01750803;0.695430952;25;4.150269162;2.182907924
W. excavata;62.10711138;0.828306295;48;4.79805188;2.762189181
W. excavata;45.25055092;0.804652962;16;4.754913547;2.746010089
W. excavata;47.87602736;0.82156977;22;4.732378433;2.719413605
W. excavata;25.48806341;0.719982242;39;4.070000846;2.090941853
W. excavata;53.12585341;0.819921808;40;4.699099441;2.660610224
W. excavata;27.37514907;0.7670026;18;4.375058043;2.115405862
W. excavata;47.03982854;0.815421943;50;4.668298571;2.624855706
W. excavata;55.28957706;0.820171912;44;4.711955009;2.688698659
W. excavata;8.145259719;0.259466539;41;2.420135557;1.408022503
W. excavata;17.00828533;0.626154989;50;3.394397613;1.787280212
W. excavata;44.17387774;0.818840971;12;4.702506377;2.580966205
W. excavata;45.71339116;0.787243525;32;4.713044623;2.722200506
W. excavata;44.22273988;0.818647898;41;4.689965843;2.676745233
W. excavata;50.16486266;0.820521871;24;4.791186684;2.766481567
W. excavata;34.60249604;0.812158442;36;4.708759734;2.414704726
W. excavata;33.24691276;0.759303052;23;4.255413129;2.413796508
W. excavata;61.92274123;0.828267805;20;4.790293693;2.768732783
W. excavata;42.35898201;0.815968291;46;4.648683716;2.655158312
W. excavata;65.80938059;0.828557236;13;4.746993585;2.743932138
W. excavata;14.05791346;0.502121501;29;3.034565716;1.627381246
W. excavata;26.43620358;0.768050107;31;4.289943858;2.141271106
W. excavata;53.39432349;0.826987437;11;4.805259144;2.774452857
W. excavata;48.1233378;0.817230361;25;4.712211703;2.665721118
W. excavata;74.76747704;0.838102344;14;4.803966502;2.771984134
W. excavata;44.0400221;0.817075829;24;4.680149885;2.606547119
W. excavata;51.71953212;0.824929769;18;4.774576539;2.753943553
W. excavata;26.72412111;0.798537437;46;4.555784419;2.089667076
W. excavata;7.993996691;0.299232702;47;2.361319527;1.387647767
W. excavata;27.1245513;0.776054774;22;4.270494866;2.025891239
W. excavata;20.5797;0.550091397;38;3.466149728;1.871302451
W. excavata;28.28219257;0.739467658;14;3.930475525;2.041978115
W. excavata;39.1305837;0.808610903;38;4.623028451;2.541002298
W. excavata;26.68123503;0.71308723;33;3.869779267;2.134376772
W. excavata;48.31196406;0.815675575;15;4.713034018;2.713001411
W. excavata;50.59676984;0.825465969;14;4.789584806;2.755702705
W. excavata;42.82564768;0.815918972;31;4.641365517;2.639068442
W. excavata;7.969800569;0.298537318;46;2.35460349;1.385937476
W. excavata;24.91004915;0.683794761;33;3.640599734;2.03282006
W. excavata;41.79468427;0.811772796;37;4.640077877;2.485201531
W. excavata;51.15972447;0.817803217;44;4.692117883;2.644854211
W. excavata;51.61047402;0.819958984;33;4.751357788;2.729730003
W. excavata;40.92551255;0.81615397;45;4.667846073;2.589799282
W. excavata;61.01753083;0.827148927;34;4.794544578;2.762458486
W. excavata;25.6293031;0.764545509;46;4.25161681;2.139876744
W. excavata;52.72162088;0.817530153;17;4.674323249;2.57054674
W. excavata;17.90710849;0.532984274;43;3.345370971;1.812242841
W. excavata;34.32593337;0.770603548;42;4.267738;2.425787014
W. excavata;41.6771691;0.817055907;34;4.672080257;2.627761393
W. excavata;56.52583426;0.827754873;16;4.804388793;2.773725198
W. excavata;20.71408015;0.595017404;26;3.454424698;1.840376621
W. excavata;20.67516977;0.570413192;42;3.479110702;1.885108404
W. excavata;63.28406527;0.82841579;40;4.788899877;2.747903873
W. excavata;36.70662823;0.813890836;21;4.750450862;2.37763015
W. excavata;33.79896965;0.806753994;49;4.627856267;2.237285813
W. excavata;39.94197979;0.811952319;34;4.662918321;2.555875556
W. excavata;26.8160879;0.791297874;22;4.45641704;2.129356309
B. cf. aculeatus;36.38795762;0.787135432;48;3.913863698;1.905724447
B. cf. aculeatus;38.6056245;0.769503005;31;3.82478382;1.98468081
B. cf. aculeatus;73.25958985;0.832650412;11;4.545329788;2.544030378
B. cf. aculeatus;50.20358797;0.778615723;18;3.842308507;2.208739114
B. cf. aculeatus;52.36741961;0.809399901;28;4.307210708;2.213552266
B. cf. aculeatus;33.86266177;0.724656517;33;3.602676387;1.982484071
B. cf. aculeatus;37.92870662;0.797613481;41;4.070221959;1.920729482
B. cf. aculeatus;40.81842071;0.808888694;43;4.159693559;1.972989087
B. cf. aculeatus;38.22994543;0.758800472;34;3.813288842;1.997922703
B. cf. aculeatus;33.61343023;0.769593144;50;3.847469366;1.866727347
B. cf. aculeatus;35.06203577;0.797225491;41;3.996505402;1.865708581
B. cf. aculeatus;33.05141659;0.770398673;50;3.829716232;1.851345721
B. cf. aculeatus;53.54178031;0.846082709;45;4.512494315;2.203458119
B. cf. aculeatus;31.92940412;0.771646584;11;3.735086669;1.850472392
B. cf. aculeatus;64.38033683;0.849265201;19;4.554458915;2.407745545
B. cf. aculeatus;49.68430326;0.809976171;43;4.194442914;2.148906877
B. cf. aculeatus;34.09103623;0.728976226;44;3.613620998;1.980268463
B. cf. aculeatus;31.01710638;0.772661572;25;3.769942872;1.824043503
B. cf. aculeatus;50.34257477;0.773792991;16;4.428862675;2.264685681
B. cf. aculeatus;66.08256711;0.847541945;16;4.298179279;2.508678556
B. cf. aculeatus;53.40910413;0.81655955;41;4.312606972;2.231934161
B. cf. aculeatus;33.78844183;0.779691374;46;3.856812011;1.853429532
B. cf. aculeatus;39.28944995;0.767503966;38;3.790739803;2.001324658
B. cf. aculeatus;34.30279877;0.78105735;49;3.924489937;1.866153437
B. cf. aculeatus;37.04517606;0.793661391;37;3.993981056;1.909050378
