10 points;20 points;30 points;40 points;50 points;60 points;70 points;80 points;90 points;100 points;125 points;150 points;175 points;200 points;400 points;600 points;800 points;1000 points;1500 points
;;;;;;;;;;;38.07799836;43.34337859;22.66968452;24.95341676;24.23812406;51.46590077;;
;;;;;;;;;;;46.41140231;49.9554821;23.13520332;46.54351097;49.81094136;26.40141145;;
;;;;;;;;;;;40.43806123;45.25662508;49.36229433;46.49264031;39.85521073;58.45311219;;
;;;;;;;;;;;47.77485722;41.26315694;49.11362722;24.55002883;24.92936605;44.94108468;;
;;;;;;;;;;;60.0377474;57.2927176;43.59910187;32.17546274;8.96186419;44.09002169;;
;;;;;;;;;;;25.4343663;48.69498875;26.46091418;34.80186052;28.72042608;32.01054102;;
;;;;;;;;;;;50.10699236;44.90702525;26.85860194;26.31350424;43.56143356;27.10592088;;
;;;;;;;;;;;40.23729029;37.29133407;39.42176793;51.95085887;45.15864769;53.49048468;;
;;;;;;;;;;;23.79336366;48.29797591;43.17661525;28.08661852;8.493933313;17.81680078;;
;;;;;;;;;;;24.08673637;41.23181384;22.92783795;29.04007617;26.24328223;39.13490089;;
;;;;;;;;;;;49.86588723;43.64275397;30.2232184;52.7136441;40.458244;47.25866079;;
;;;;;;;;;;;51.40233823;19.20365779;46.51575154;30.89961914;18.89248445;30.77732916;;
;;;;;;;;;;;42.30364178;41.67738466;42.85159683;41.32949768;39.11873256;46.12661594;;
;;;;;;;;;;;62.29130436;32.00939513;24.7931767;26.64682224;12.04167635;41.05916648;;
;;;;;;;;;;;39.01329804;8.700983348;40.07458209;50.1334463;38.91279839;39.35706401;;
;;;;;;;;;;;29.78099034;37.39189133;48.46004653;40.39324547;41.64868784;41.18169253;;
;;;;;;;;;;;45.94475932;42.11623557;44.78759382;46.15970531;22.65500937;17.39856612;;
;;;;;;;;;;;36.1646638;49.67133992;25.90077803;28.47618482;46.16109916;39.5102359;;
;;;;;;;;;;;35.29330225;43.40611977;40.67222881;28.27389866;46.79781274;38.06735895;;
;;;;;;;;;;;;51.98721137;27.17606391;48.06209936;29.90747295;37.2383538;;
;;;;;;;;;;;;22.4876347;31.65469758;20.2841214;21.76311894;47.37888508;;
;;;;;;;;;;;;19.00548886;31.87482156;16.14256586;38.62455201;34.04698525;;
;;;;;;;;;;;;52.51293067;43.55910182;32.2413592;46.05409407;52.12124653;;
;;;;;;;;;;;;9.465701152;44.36169913;32.88868558;39.68851974;43.88364997;;
;;;;;;;;;;;;47.51441635;20.6822197;23.02853655;25.65284995;38.03290909;;
;;;;;;;;;;;;48.85321865;41.63172211;41.63778656;31.94582533;54.32732596;;
